Palabra,Definicion
Basado,"Alguien que dice lo que piensa, aunque sea incómodo o políticamente incorrecto. En el stream es un elogio: “la ve” y no se esconde."
Carajo,"El canal de YouTube donde se transmite La Misa. Si alguien dice “lo dijeron en Carajo”, habla de ese espacio."
Casta,"Así llaman al circuito de políticos, sindicatos y empresarios amigos del Estado. En la jerga, “la casta” es el sistema que dicen combatir."
Chad,"El tipo que la tiene clara: seguro, sin complejos, que “la rompe”. Sale de memes de internet. A veces se lo usan para alguien que ganó una discusión o para Milei."
Domada,"Dejar a alguien en offside en un debate, con un dato o con una respuesta. Es la “victoria” de una discusión, casi siempre en tono de joda."
Falso,"Lo contrario de verdadero. Alguien al que acusan de pose, de venderse o de no bancar la línea cuando conviene."
Fenómeno barrial,Frase irónica que popularizó Milei. Al principio lo subestimaban como un líder de un barrio; la frase quedó para marcar que el fenómeno se les fue de las manos.
Fiel,"El que mira La Misa o banca el espacio. Como el programa se llama como un oficio religioso, al público a veces lo tratan de fieles o parroquianos."
Giga,"Prefijo de meme que significa “en grande” o “al palo”. Un giga kuka es la versión exagerada del kuka; un giga chad, la versión máxima del chad."
Gordo,"Autonombre de la comunidad en X. Arrancó como burla al nerd que vive online y lo tomaron como identidad. De ahí Gordo Dan, “los gordos”, etc."
Intelectual de Miller,El laburante que no clava el apellido (“Miller” por Milei) pero “la ve” igual. Nació de un móvil en Constitución donde un vecino dijo que votaba a Miller.
Kuck,"Mezcla de kuka y cuck, una palabra de internet para el que “se deja”, se vende o no es consecuente. No es solo “zurdo”: también un propio al que acusan de tibio o de flaquear."
Kuka,"Kirchnerista o peronista K. Sale de la “K” de Kirchner. En La Misa se usa para marcar al otro bando, casi siempre en tono despectivo o de chiste."
La cabra,"Apodo irónico de Alberto Fernández. Juegan con GOAT (“el más grande”). Cuando sale una noticia mala para el kirchnerismo, dicen “la cabra lo hizo de nuevo”."
La Misa,"El streaming de Gordo Dan en Carajo. Se habla como si fuera un oficio: sermón, fieles, herejes. El 4 de diciembre de 2026 hay función en el Teatro Gran Rex."
Lágrimas de zurdo,"Celebrar que al otro bando le duele una noticia: una baja de inflación, un triunfo, un anuncio. Viene del inglés liberal tears."
Mandril,"Insulto que usa Milei para opositores. La imagen es la de alguien que quedó expuesto, “con la cola al aire”."
NPC,"Del gamer: un personaje de videojuego que repite siempre la misma frase. Acá se usa para alguien que, según ellos, repite el discurso de los medios sin pensar."
Pautero,"Periodista o medio al que acusan de vivir de la pauta oficial, o de acomodar la cobertura según quién pague."
Redpill,"“Despertar” y ver lo que el resto no vería: política, medios, costumbres. Sale del meme de Matrix, la pastilla roja."
Tipazo,"Simpatizante mileísta, en tono afectuoso. El “de los nuestros”, pero más barrial y menos solemne que verdadero."
TMAP,"Sigla de “todo marcha acorde al plan”. Se usa cuando algo sale como esperaban. También en joda, cuando sale al revés."
Verdadero,"El de adentro: el que “la ve”, no se vende y bankea la línea. Es el contraste de kuck o falso. En X es casi un sello de pertenencia."
VLLC,"Viva la libertad, carajo. El grito de cierre. En el glosario queda como saludo, firma y consigna."
Woke,"Así nombran al progresismo cultural o a lo políticamente correcto, casi siempre en sentido despectivo."
Zurdo,"Izquierda en general. Es más amplio que kuka: puede ser kirchnerista, trosko, progresista o, en el uso más flojo, cualquiera de “ese lado”."
